Path,File,Description
app/src/main/java/com/smartcourse/app,SmartCourseApp.kt,"Application class. Initializes Hilt (`@HiltAndroidApp`). Runs before any Activity."
app/src/main/java/com/smartcourse/navigation,NavigationControl.kt,"Main router. Chooses LoggedInNavHost or LoggedOutNavHost based on AuthState."
app/src/main/java/com/smartcourse/navigation,LoggedInNavHost.kt,"Navigation graph for authenticated users (home, chats, settings)."
app/src/main/java/com/smartcourse/navigation,LoggedOutNavHost.kt,"Navigation graph for unauthenticated users (login, register, choose role)."
app/src/main/java/com/smartcourse/navigation,Screen.kt,"Route names for navigation. Prevents typos."

app/src/main/java/com/smartcourse/auth,AuthState.kt,"Authentication state enum / sealed class (LOGGED_OUT, REGISTERED, CHOOSE_ROLE, LOGGED_IN)."
app/src/main/java/com/smartcourse/auth,AuthViewModel.kt,"Manages authentication flow. Reads/writes AuthState."
app/src/main/java/com/smartcourse/auth,AuthRepository.kt,"Handles sign-in, sign-out, register logic (Supabase + Google)."
app/src/main/java/com/smartcourse/auth/google,(folder),"Google Sign-In related helpers."

app/src/main/java/com/smartcourse/data/models,User.kt,"User data model (id, name, email, image, role)."
app/src/main/java/com/smartcourse/data/models,Course.kt,"Course entity (course id, name, etc.)."
app/src/main/java/com/smartcourse/data/models,Chat.kt,"Chat metadata (chatId, participants, last message...)."
app/src/main/java/com/smartcourse/data/models,Message.kt,"Represents a single chat message."

app/src/main/java/com/smartcourse/data/remote/supabase,SupabaseClient.kt,"Creates and manages Supabase client instance."
app/src/main/java/com/smartcourse/data/remote/supabase,UserSupabaseService.kt,"CRUD operations on user table via Supabase."
app/src/main/java/com/smartcourse/data/remote/supabase,CourseSupabaseService.kt,"CRUD operations on course table via Supabase."

app/src/main/java/com/smartcourse/data/remote/firebase,FirebaseChatService.kt,"Handles chat messages (send, listen) in Firebase."
app/src/main/java/com/smartcourse/data/remote/firebase,FirebaseStorageService.kt,"Uploads images/files/audio to Firebase Storage."

app/src/main/java/com/smartcourse/data/repositories,UserRepository.kt,"Combines Supabase + Firebase to provide user operations."
app/src/main/java/com/smartcourse/data/repositories,ChatRepository.kt,"Provides chat operations using FirebaseChatService."
app/src/main/java/com/smartcourse/data/repositories,CourseRepository.kt,"Provides course operations using CourseSupabaseService."

app/src/main/java/com/smartcourse/data/utils,ChatIdUtil.kt,"Generates deterministic chatId from two UIDs."

app/src/main/java/com/smartcourse/ui/screens/login,LoginScreen.kt,"Login screen UI (Compose)."
app/src/main/java/com/smartcourse/ui/screens/register,RegisterScreen.kt,"Register screen UI."
app/src/main/java/com/smartcourse/ui/screens/register,ChooseRoleScreen.kt,"Lets user choose Student / Tutor role."
app/src/main/java/com/smartcourse/ui/screens/home,StudentHomeScreen.kt,"Home screen for students (favorite tutors + recent chats)."
app/src/main/java/com/smartcourse/ui/screens/home,TutorHomeScreen.kt,"Home screen for tutors (students list + recent chats)."
app/src/main/java/com/smartcourse/ui/screens/chat,ChatListScreen.kt,"List of chats (Firebase)."
app/src/main/java/com/smartcourse/ui/screens/chat,ChatScreen.kt,"Chat UI (send/receive messages)."
app/src/main/java/com/smartcourse/ui/screens/settings,SettingsScreen.kt,"App settings UI."

app/src/main/java/com/smartcourse/ui/components,CustomText.kt,"Reusable styled Text component."
app/src/main/java/com/smartcourse/ui/components,CustomButton.kt,"Reusable styled Button component."
app/src/main/java/com/smartcourse/ui/components,CustomBox.kt,"Styled Box wrapper."
app/src/main/java/com/smartcourse/ui/components,CustomColumn.kt,"Styled Column wrapper."
app/src/main/java/com/smartcourse/ui/components,CustomRow.kt,"Styled Row wrapper."
app/src/main/java/com/smartcourse/ui/components,DynamicBottomBar.kt,"Bottom navigation bar that changes by user role."

app/src/main/java/com/smartcourse/ui/theme,Color.kt,"Color definitions."
app/src/main/java/com/smartcourse/ui/theme,Theme.kt,"Main Compose Material theme configuration."
app/src/main/java/com/smartcourse/ui/theme,Type.kt,"Typography setup."

app/src/main/java/com/smartcourse/viewmodels,UserViewModel.kt,"ViewModel for user profile, role, favorite tutors."
app/src/main/java/com/smartcourse/viewmodels,ChatViewModel.kt,"ViewModel for chat operations, messages, listeners."
app/src/main/java/com/smartcourse/viewmodels,CourseViewModel.kt,"ViewModel for course operations."

app/src/main/res/drawable,(folder),"Images, icons, shapes."
app/src/main/res/layout,(folder),"Unused (Compose project)."
app/src/main/res/values,(folder),"Colors.xml, themes.xml (Material XML files)."
