id,course_name
a1f0e5e1-1f2a-4b6c-8a8a-000000000001,Algorithms 1
a1f0e5e1-1f2a-4b6c-8a8a-000000000002,Algorithms 2
a1f0e5e1-1f2a-4b6c-8a8a-000000000003,Algorithms 3
a1f0e5e1-1f2a-4b6c-8a8a-000000000004,Data Structures
a1f0e5e1-1f2a-4b6c-8a8a-000000000005,Advanced Data Structures
a1f0e5e1-1f2a-4b6c-8a8a-000000000006,Discrete Mathematics
a1f0e5e1-1f2a-4b6c-8a8a-000000000007,Linear Algebra
a1f0e5e1-1f2a-4b6c-8a8a-000000000008,Calculus 1
a1f0e5e1-1f2a-4b6c-8a8a-000000000009,Calculus 2
a1f0e5e1-1f2a-4b6c-8a8a-000000000010,Probability Theory
a1f0e5e1-1f2a-4b6c-8a8a-000000000011,Statistics
a1f0e5e1-1f2a-4b6c-8a8a-000000000012,Numerical Methods
a1f0e5e1-1f2a-4b6c-8a8a-000000000013,Graph Theory
a1f0e5e1-1f2a-4b6c-8a8a-000000000014,Operating Systems
a1f0e5e1-1f2a-4b6c-8a8a-000000000015,Advanced Operating Systems
a1f0e5e1-1f2a-4b6c-8a8a-000000000016,Computer Architecture
a1f0e5e1-1f2a-4b6c-8a8a-000000000017,Digital Logic
a1f0e5e1-1f2a-4b6c-8a8a-000000000018,Compilers
a1f0e5e1-1f2a-4b6c-8a8a-000000000019,Programming Languages
a1f0e5e1-1f2a-4b6c-8a8a-000000000020,Formal Languages
a1f0e5e1-1f2a-4b6c-8a8a-000000000021,Automata Theory
a1f0e5e1-1f2a-4b6c-8a8a-000000000022,Theory of Computation
a1f0e5e1-1f2a-4b6c-8a8a-000000000023,Distributed Systems
a1f0e5e1-1f2a-4b6c-8a8a-000000000024,Parallel Computing
a1f0e5e1-1f2a-4b6c-8a8a-000000000025,Computer Networks
a1f0e5e1-1f2a-4b6c-8a8a-000000000026,Advanced Computer Networks
a1f0e5e1-1f2a-4b6c-8a8a-000000000027,Databases
a1f0e5e1-1f2a-4b6c-8a8a-000000000028,Advanced Databases
a1f0e5e1-1f2a-4b6c-8a8a-000000000029,Database Systems Design
a1f0e5e1-1f2a-4b6c-8a8a-000000000030,Information Retrieval
a1f0e5e1-1f2a-4b6c-8a8a-000000000031,Machine Learning
a1f0e5e1-1f2a-4b6c-8a8a-000000000032,Advanced Machine Learning
a1f0e5e1-1f2a-4b6c-8a8a-000000000033,Deep Learning
a1f0e5e1-1f2a-4b6c-8a8a-000000000034,Artificial Intelligence
a1f0e5e1-1f2a-4b6c-8a8a-000000000035,Natural Language Processing
a1f0e5e1-1f2a-4b6c-8a8a-000000000036,Computer Vision
a1f0e5e1-1f2a-4b6c-8a8a-000000000037,Pattern Recognition
a1f0e5e1-1f2a-4b6c-8a8a-000000000038,Data Mining
a1f0e5e1-1f2a-4b6c-8a8a-000000000039,Big Data Systems
a1f0e5e1-1f2a-4b6c-8a8a-000000000040,Cloud Computing
a1f0e5e1-1f2a-4b6c-8a8a-000000000041,Cyber Security
a1f0e5e1-1f2a-4b6c-8a8a-000000000042,Network Security
a1f0e5e1-1f2a-4b6c-8a8a-000000000043,Cryptography
a1f0e5e1-1f2a-4b6c-8a8a-000000000044,Applied Cryptography
a1f0e5e1-1f2a-4b6c-8a8a-000000000045,Secure Software Design
a1f0e5e1-1f2a-4b6c-8a8a-000000000046,Software Engineering
a1f0e5e1-1f2a-4b6c-8a8a-000000000047,Advanced Software Engineering
a1f0e5e1-1f2a-4b6c-8a8a-000000000048,Object Oriented Design
a1f0e5e1-1f2a-4b6c-8a8a-000000000049,Design Patterns
a1f0e5e1-1f2a-4b6c-8a8a-000000000050,Software Architecture
